"slugTeam","match_up","dateGame","offrtg","defrtg","numberPeriod","slugOpp"
"POR","POR @ GSW",2021-01-01,"144.0","80.8",1,"GSW"
"BOS","BOS @ DET",2021-01-01,"46.2","108.0",1,"DET"
"CHA","CHA vs. MEM",2021-01-01,"79.2","95.8",1,"MEM"
"MEM","MEM @ CHA",2021-01-01,"95.8","79.2",1,"CHA"
"PHX","PHX @ DEN",2021-01-01,"130.8","123.1",1,"DEN"
"LAL","LAL @ SAS",2021-01-01,"100.0","124.0",1,"SAS"
"UTA","UTA vs. LAC",2021-01-01,"129.2","79.2",1,"LAC"
"BKN","BKN vs. ATL",2021-01-01,"82.1","103.6",1,"ATL"
"GSW","GSW vs. POR",2021-01-01,"80.8","144.0",1,"POR"
"DET","DET vs. BOS",2021-01-01,"108.0","46.2",1,"BOS"
"DAL","DAL vs. MIA",2021-01-01,"87.0","72.7",1,"MIA"
"WAS","WAS @ MIN",2021-01-01,"142.3","96.2",1,"MIN"
"CHI","CHI @ MIL",2021-01-01,"84.0","108.0",1,"MIL"
"SAS","SAS vs. LAL",2021-01-01,"124.0","100.0",1,"LAL"
"MIA","MIA @ DAL",2021-01-01,"72.7","87.0",1,"DAL"
"ATL","ATL @ BKN",2021-01-01,"103.6","82.1",1,"BKN"
"LAC","LAC @ UTA",2021-01-01,"79.2","129.2",1,"UTA"
"DEN","DEN vs. PHX",2021-01-01,"123.1","130.8",1,"PHX"
"MIN","MIN vs. WAS",2021-01-01,"96.2","142.3",1,"WAS"
"MIL","MIL vs. CHI",2021-01-01,"108.0","84.0",1,"CHI"
"CLE","CLE @ ATL",2021-01-02,"104.2","145.8",1,"ATL"
"NYK","NYK @ IND",2021-01-02,"113.0","127.3",1,"IND"
"TOR","TOR @ NOP",2021-01-02,"100.0","128.0",1,"NOP"
"HOU","HOU vs. SAC",2021-01-02,"144.0","144.0",1,"SAC"
"OKC","OKC @ ORL",2021-01-02,"103.7","126.9",1,"ORL"
"PHI","PHI vs. CHA",2021-01-02,"150.0","96.0",1,"CHA"
"ORL","ORL vs. OKC",2021-01-02,"126.9","103.7",1,"OKC"
"SAC","SAC @ HOU",2021-01-02,"144.0","144.0",1,"HOU"
"NOP","NOP vs. TOR",2021-01-02,"128.0","100.0",1,"TOR"
"ATL","ATL vs. CLE",2021-01-02,"145.8","104.2",1,"CLE"
"CHA","CHA @ PHI",2021-01-02,"96.0","150.0",1,"PHI"
"IND","IND vs. NYK",2021-01-02,"127.3","113.0",1,"NYK"
"CHI","CHI vs. DAL",2021-01-03,"124.0","119.2",1,"DAL"
"SAS","SAS vs. UTA",2021-01-03,"85.2","122.2",1,"UTA"
"MIN","MIN vs. DEN",2021-01-03,"116.7","116.0",1,"DEN"
"UTA","UTA @ SAS",2021-01-03,"122.2","85.2",1,"SAS"
"WAS","WAS @ BKN",2021-01-03,"103.6","100.0",1,"BKN"
"DEN","DEN @ MIN",2021-01-03,"116.0","116.7",1,"MIN"
"DAL","DAL @ CHI",2021-01-03,"119.2","124.0",1,"CHI"
"LAL","LAL @ MEM",2021-01-03,"108.7","150.0",1,"MEM"
"LAC","LAC @ PHX",2021-01-03,"142.3","88.9",1,"PHX"
"POR","POR @ GSW",2021-01-03,"117.9","128.6",1,"GSW"
"PHX","PHX vs. LAC",2021-01-03,"88.9","142.3",1,"LAC"
"GSW","GSW vs. POR",2021-01-03,"128.6","117.9",1,"POR"
"MEM","MEM vs. LAL",2021-01-03,"150.0","108.7",1,"LAL"
"DET","DET vs. BOS",2021-01-03,"137.5","129.2",1,"BOS"
"BKN","BKN vs. WAS",2021-01-03,"100.0","103.6",1,"WAS"
"BOS","BOS @ DET",2021-01-03,"129.2","137.5",1,"DET"
"MIL","MIL vs. DET",2021-01-04,"113.8","92.9",1,"DET"
"NOP","NOP vs. IND",2021-01-04,"96.0","108.3",1,"IND"
"TOR","TOR vs. BOS",2021-01-04,"133.3","92.0",1,"BOS"
"HOU","HOU vs. DAL",2021-01-04,"84.0","132.0",1,"DAL"
"SAC","SAC @ GSW",2021-01-04,"74.1","142.3",1,"GSW"
